127.0.0.1 - - [10/Aug/2014:11:54:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/1280px-Room_of_mirrors,_City_Palace,_Udaipur-qpr.jpg HTTP/1.1" 200 271949
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/1280px-Evening_view,_City_Palace,_Udaipur-qpr.jpg HTTP/1.1" 200 180535
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/City-Palace-Udaipur-3-qpr.jpg HTTP/1.1" 200 293362
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/City-Palace-of-Udaipur-On-Lake-Pichola-India-1600x1200-qpr.jpg HTTP/1.1" 200 173298
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/1280px-Balconies_with_ceramic_tiles,_City_Palace,_Udaipur-qpr.jpg HTTP/1.1" 200 232975
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/4853914600_b96d3d7396_b-qpr.jpg HTTP/1.1" 200 148018
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/1280px-City_Palace_(Udaipur)_07-qpr.jpg HTTP/1.1" 200 171802
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/4853706970_bd83b6679b_b-qpr.jpg HTTP/1.1" 200 233213
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/4853113047_5cce58d4e8_b-qpr.jpg HTTP/1.1" 200 218047
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/7406424-qpr.jpg HTTP/1.1" 200 182525
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/4853099127_5356c76f44_b-qpr.jpg HTTP/1.1" 200 143714
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/75770112-qpr.jpg HTTP/1.1" 200 186215
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/4853124643_c12e5f2f92_b-qpr.jpg HTTP/1.1" 200 284710
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:56:40 +0530] "GET /vision/user/images/citypalace/inside-the-city-palace--udaipur-qpr.jpg HTTP/1.1" 200 144223
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:57:19 +0530] "GET /vision/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:57:19 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:57:19 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:38 +0530] "GET /vision/user/jsp%20files/index/information.jsp HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:38 +0530] "GET /vision/user/images/udaipur-city-map.jpg HTTP/1.1" 200 204036
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:45 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 8969
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:46 +0530] "GET /vision/user/images/reasons/udaipur_city_palace2.jpg HTTP/1.1" 200 54693
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:46 +0530] "GET /vision/user/images/reasons/ShilpGramGoaday-4-610x330.jpg HTTP/1.1" 200 70651
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:46 +0530] "GET /vision/user/images/reasons/udaipur2.jpg HTTP/1.1" 200 159128
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:46 +0530] "GET /vision/user/images/reasons/Jagdish-Temple-Udaipur-640x480.jpg HTTP/1.1" 200 83625
0:0:0:0:0:0:0:1 - - [10/Aug/2014:11:59:46 +0530] "GET /vision/user/images/reasons/4177219622_9a9aa36759_z.jpg HTTP/1.1" 200 133797
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/jsp%20files/index/index.jsp HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/background/parquet_flooring-1920x1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:55 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:08:58 +0530] "GET /vision/user/jsp%20files/index/information.jsp HTTP/1.1" 200 11735
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:05 +0530] "GET /vision/user/jsp%20files/index/features.jsp HTTP/1.1" 200 9127
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:18 +0530] "GET /vision/user/jsp%20files/index/login_signup.jsp HTTP/1.1" 200 4986
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "POST /vision/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_index.jsp HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/css%20files/grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/js%20files/grid.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/images/loginform/user1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:26 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC02603-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC_1164-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/css%20files/images/slider/loading.gif HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/DSC02639-qpr.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/grid/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:27 +0530] "GET /vision/user/images/slider/bullet.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:31 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_information.jsp HTTP/1.1" 200 14391
0:0:0:0:0:0:0:1 - - [10/Aug/2014:12:09:38 +0530] "GET /vision/user/jsp%20files/afterlogin/afterlogin_features.jsp HTTP/1.1" 200 11828
